References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"RN1, RN2, RN3, RN4, RN5, RN6, RN7",7,DR1206-33R-4/8,,CAY16-330J4LF,,CAY16-330J4LFCT-ND,,CAY16-330J4LF,,DR1206-33R-4/8,,,,,
SP1,1,LD-BZEN 0903,,-,,LD-BZEN-0903,,,,,,,,,
SW1,1,TL1100CF160Q,,TL1100CF160Q,,EG1822-ND,,-,,,,,,,
SW2,1,PEC16-2215F-S0024,,PEC16-2215F-S0024-ND,,-,,,,,,,,,
X1,1,DS1024-2*20R0,,SSW-120-02-T-D-RA,,SAM11958-ND,,SSW-120-02-F-D-RA,,DS1024-2*20R0,,,,,
X2,1,DS1013-16SSIB1,,MC-254-16-00-ST-DIP,,ED10523-ND,,61201621621,,DS1013-16SSIB1,,,,,
X3,1,691322110005,,CTB932HD/5,,732-2772-ND,,691322110005,,-,,,,,
X5,1,LMJTAB881243M-L or LMJ30288115CNL,,-,,LMJTAB881243M-L,,,,,,,,,
Y1,1,25 MHz,,LFXTAL033342,,1923-1536-1-ND,,LFXTAL010595,,25.00M-SMDHC49R,,,,,
Y2,1,XTAL016178-85SMX,,XTAL016178-85SMX,,1923-1021-1-ND,,LFXTAL016178,,32.768K-85SMXR,,,,,
ZD1,1,BZX384-B24.115,,MM3Z24VST1G,,1727-3645-1-ND,,BZT52C24S-7-F,,BZX384-B24.115,,,,,
