"References","Qty","Description","Manufacturer","MPN","Manufacturer","MPN","Manufacturer","MPN","Manufacturer","MPN","Manufacturer","MPN","Digikey","Mouser","RS","Newark","Farnell",,,,,,,,
"IC11, IC13",2,"LT3763EFE#PBF","Analog Devices / Linear Technology","LT3763EFE#PBF",,,,,,,,,"LT3763EFE#PBF-ND","584LT3763EFE#PBF",,,2293099,,,,,,,,
"IC12",1,"MC33274ADR2G",,"MC33274ADR2G","ON Semiconductor","MC33274ADR2G",,,,,,,"MC33274ADR2GOSDKR-ND","863MC33274ADR2G",7737787,,2531387,,,,,,,,
"IC2",1,"TPS54060DGQ",,"TPS54060DGQ .","Texas Instruments","TPS54060DGQ","Texas Instruments","TPS54060DGQR",,,,,"296-37148-1-ND","595TPS54060DGQR",6989079,,1710820,,,,,,,,
"IC3",1,"Si8641AB-B-IS1",,"Si8641AB-B-IS1","Silicon Labs","SI8641AB-B-IS1",,,,,,,"SI8641AB-B-IS1-ND","634SI8641ABBIS1","8232000P",,2423288,,,,,,,,
"IC4",1,"M24C32-WMN6P",,"M24C32-WMN6P","STMicroelectronics","M24C32-WMN6P",,,,,,,,"511M24C32WMN6P",1686383,,1224413,,,,,,,,
"IC5",1,"LP2985-33DBVR",,"LP2985A-33DBVTE4 .","Texas Instruments","LP2985-33DBVR","Texas Instruments","LP2985-33DBVT","Texas Instruments","LP2985A-33DBVTE4",,,"296-18476-6-ND","595LP298533DBVR",6606733,,3122176,,,,,,,,
"IC6",1,"74HC2G04GW,125",,"74HC2G04GW,125","Nexperia","74HC2G04GW,125",,,,,,,"1727-6045-1-ND","771HC2G04GW125",1532919,,2777732,,,,,,,,
"IC8",1,"STM32F373C8T6",,"STM32F373C8T6","STMicroelectronics","STM32F373C8T6",,,,,,,"497-13306-ND","511STM32F373C8T6","7959164P",,2333274,,,,,,,,
"IC9",1,"TL431BIDBZR",,"TL431BCDBZR","Texas Instruments","TL431BCDBZR","Nexperia","TL431BCDBZR","Nexperia","TL431BIDBZR,215",,,"1727-4257-1-ND","771TL431BIDBZR215",7974826,,2095470,,,,,,,,
"J1",1,4907,"Keystone",4907,,,,,,,,,"36-4907-ND",5344907,,,,,,,,,,,
"J2, J4",2,"571-0500",,"571-0500-01","RS Pro",1036511,"Deltron","571-0500","Deltron","571-0500-01",,,,1646219,1036511,,1101127,,,,,,,,
"J3, J5",2,"571-0100",,"571-0100-01","RS Pro",1036527,"Deltron","571-0100","Deltron","571-0100-01",,,,1646218,1036527,,1494595,,,,,,,,
"L1",1,"RN112-4-02-0M7","Schaffner","RN112-4-02-0M7",,,,,,,,,"817-2100-ND","631RN1124020M7",,,2730089,,,,,,,,
"L2, L4",2,"125CDMCCDS-330MC",,7443551331,"Sumida","125CDMCCDS-330MC","Würth Elektronik",7443551331,,,,,"732-3881-1-ND",7107443551331,,,2211631,,,,,,,,
"L3, L5",2,"HPI0630-3R3",,"IHLP2020CZER3R3M11","Vishay","IHLP2020CZER3R3M11","TDK","VLS6045AF-3R3N",,,,,"541-1237-6-ND","70IHLP2020CZER3R3M1",,,1741325,,,,,,,,
"LED1, LED2",2,"WP42WUM/EGW","Kingbright","WP42WUM/EGW",,,,,,,,,"754-1718-ND","604WP42WUM/EGW",,,,,,,,,,,
"NTC1, NTC2",2,"NTCS0805E3103JMT",,"NTCS0805E3103JMT","Vishay","NTCS0805E3103JMT",,,,,,,"BC2292DKR-ND",594238161553103,1793950,,2103177,,,,,,,,
"Q1, Q6",2,"BSP716NH6327XTSA1",,"BSP716NH6327XTSA1","Infineon","BSP716NH6327XTSA1",,,,,,,"BSP716NH6327XTSA1CT-ND","726BSP716NH6327XTSA",,,2803380,,,,,,,,
"Q2, Q3, Q7, Q8",4,"NTD5867NLT4G",,"NTD5867NLT4G","ON Semiconductor","NTD5867NLT4G",,,,,,,"NTD5867NLT4GOSDKR-ND","863NTD5867NLT4G",7192901,,1879964,,,,,,,,
"Q4, Q9",2,"BSS205NH6327XTSA1",,"BSS205NH6327XTSA1","Infineon","BSS205NH6327XTSA1",,,,,,,"BSS205NH6327XTSA1DKR-ND","726BSS205NH6327XT",8922374,,2480648,,,,,,,,
"Q5, Q10",2,"BSS84P",,"BSS84PH6327XTSA2","Infineon","BSS84PH6327XTSA2","Infineon","BSS84PH6433XTMA1",,,,,"BSS84PH6327XTSA2DKR-ND","726BSS84PH6433XTMA1",8922217,,2480655,,,,,,,,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R20, TX_PU",11,"10K",,"RC0805FR-0710KL","TE Connectivity","CRG0805F10K","Yageo","RC0805FR-0710KL",,,,,"311-10.0KCRCT-ND","603RC0805FR0710KL",1251189,,9237755,,,,,,,,
"R2, R4, R5, R28, R35, R36, R52, R59, R60",9,"10R",,"MCWR08X10R0FTL","Vishay","CRCW080510R0FKEAC","TE Connectivity","CRG0805F10R","Multicomp","MCWR08X10R0FTL","Yageo","RC0805FR-0710RL","311-10.0CRCT-ND","71CRCW080510R0FKEAC",2230152,,2447556,,,,,,,,
"R21, R22, R41, R48, R65, R72",6,"3K3",,"MCWR08X3301FTL","TE Connectivity","CRG0805F3K3","TE Connectivity","CRGCQ0805F3K3","Multicomp","MCWR08X3301FTL",,,"A106062DKR-ND","279CRGCQ0805F3K3",2230499,,2447651,,,,,,,,
"R23, R49, R73",3,"120R",,"MCWR08X1200FTL","Vishay","CRCW0805120RFKEAC","TE Connectivity","CRG0805F120R","Multicomp","MCWR08X1200FTL",,,"A126336CT-ND","71CRCW0805120RFKEAC",2230304,,2447561,,,,,,,,
"R3, R43, R44, R67, R68, R76, R77",7,"47K",,"MCWR08X4702FTL","Vishay","CRCW080547K0FKEA","Rohm","ESR10EZPJ473","Multicomp","MCWR08X4702FTL","Yageo","RC0805FR-0747KL","311-47.0KCRDKR-ND","603RC0805FR0747KL",6791434,,2447664,,,,,,,,
"R30, R32, R54, R56",4,"20K",,"MCWR08X2002FTL","Vishay","CRCW080520K0FKEA","TE Connectivity","CRG0805F20K","Multicomp","MCWR08X2002FTL",,,"541-20.0KCDKR-ND","71CRCW080520KE3",6791077,,1469893,,,,,,,,
"R31, R33, R47, R55, R57, R71",6,"12K",,"MCWR08X1202FTL","Vishay","CRCW080512K0FKEA","TE Connectivity","CRG0805F12K","Multicomp","MCWR08X1202FTL",,,"541-12.0KCCT-ND","71CRCW080512K0FKEA",6790866,,2447563,,,,,,,,
"R34, R58",2,"R012/2W",,"TLM3AER012JTE","TE Connectivity","2176158-2","Yageo","PE2512FKE7W0R012L","TE Connectivity","RLP73V3AR012FTDF","TE Connectivity","TLM3AER012FTE","A109672DKR-ND","279RLP73V3AR012FTDF",8695467,,2805345,,,,,,,,
"R39, R63",2,"30K","Panasonic","ERJ6ENF3002V","Yageo","ERJ-6ENF3002V",,"RC0805FR-0730KL","Panasonic","ERJ-6ENF3002V","Yageo","RC0805FR-0730KL",,,,,,,,,"P30.0KCDKR-ND","667ERJ6ENF3002V",7326286,,2303701
"R45, R69",2,"100K",,"RMCF0805FT100KCT-ND",,"RMCF0805FT100KCT-ND","Vishay","CRCW0805100KFKEAC","TE Connectivity","CRG0805F100K","Multicomp","MCWR08X1003FTL","Stackpole Electronics","RMCF0805FT100K",,,,,,,"541-3978-1-ND","71CRCW0805100KFKEAC",2230691,,2447551
"R46, R70",2,"3K6",,"MCWR08X3601FTL","Panasonic","ERJU06F3601V","Multicomp","MCWR08X3601FTL","Stackpole Electronics","RMCF0805FT3K60","Yageo","RT0805FRE073K6L","RMCF0805FT3K60DKR-ND","603RT0805FRE073K6L",8654425,,2447652,,,,,,,,
"R50, R74",2,"11K8",,"CRCW080511K8FKEA.","Vishay","CRCW080511K8FKEA","Yageo","RC0805FR-0711K8L",,,,,"311-11.8KCRDKR-ND","603RC0805FR0711K8L",6790847,,2123262,,,,,,,,
"R51, R75",2,"15K",,"WCR0805-15KFI","Vishay","CRCW080515K0FKEBC","TE Connectivity","CRG0805F15K","Welwyn","WCR0805-15KFI",,,"A126341DKR-ND","756WCR080515KFI",2230584,,1099808,,,,,,,,
"R6, R24, R25, R26, R27, R38, R62",7,"2K2",,"RC0805FR-072K2L","Vishay","CRCW08052K20FKEA","Yageo","RC0805FR-072K2L",,,,,"311-2.20KCRDKR-ND","603RC0805FR072K2L",6791207,,2459315,,,,,,,,
"R7, R9, R29, R40, R42, R53, R64, R66",8,"86K6",,"ERJ6ENF8662V","Panasonic","ERJ-6ENF8662V","Yageo","RC0805FR-0786K6L","Yageo","RT0805FRE0786K6L",,,"311-86.6KCRCT-ND","603RC0805FR0786K6L",,,2303750,,,,,,,,
"R8",1,"330K",,"MCWR08X3303FTL","Bourns","CR0805-FX-3303ELF","Vishay","CRCW0805330KFKEA","TE Connectivity","CRG0805F330K","Multicomp","MCWR08X3303FTL","541-330KCCT-ND","652CR0805FX3303ELF",6791272,,2447637,,,,,,,,
"RN1",1,"DR1206-33R-4/8",,"CAY16-330J4LF","Bourns","CAY16-330J4LF",,,,,,,"CAY16-330J4LFDKR-ND","652CAY16330J4LF",5225670,,1770128,,,,,,,,
"TR1",1,"SRF0703-821M",,"SRF0703-821M","Bourns","SRF0703-821M",,,,,,,"SRF0703-821MCT-ND","652SRF0703821M",,,1852832,,,,,,,,
"X1",1,"39-30-1020",,"39-28-1023","Molex","39-28-1023",,,,,,,"WM3800-ND",53839281023,"4841883P",,9732080,,,,,,,,
"X2",1,"77317-104-28LF","FCI","77317-104-28LF","Sullins","PRPC014DBAN-M71RC",,,,,,,"S2111EC-14-ND","6497731710428LF",,,,,,,,,,,
"X4",1,"DS1024-2*5R0",,613010243121,"Würth Elektronik",613010243121,"Sullins","SFH11-PBPC-D05-RA-BK",,,,,"S9202-ND",710613010243121,8267194,,1841243,,,,,,,,
"ZD1, ZD3, ZD5",3,"SMAJ51A",,"SMAJ51A","Bourns","SMAJ51A","Taiwan Semiconductor","SMAJ51A","Littelfuse","SMAJ51A",,,"SMAJ51ALFCT-ND","652SMAJ51A",1714238,,2836240,,,,,,,,
"ZD2, ZD4",2,"MM3Z9V1T1G",,"MM3Z9V1T1G","ON Semiconductor","MM3Z9V1T1G",,,,,,,"MM3Z9V1T1GOSCT-ND","863MM3Z9V1T1G",8024653,,1150496,,,,,,,,
